title,level,体力,发狂,节奏,手法,认识
WONDER WALKER,10.1,,,,,
愛は不死鳥の様に,10.5,,,,,
アストライアの双皿,10.5,,,,,
Our Faith,10.6,,,,,
VALLIS-NERIA,10.4,,,,,
We're so Happy,10.4,,,,,
OVERHEAT - Type J -,10.6,,,,,
恋する☆宇宙戦争っ!!,10.0,,,,,
Cosmic Hurricane,10.0,,,,,
Confiserie(ADV),10.4,,,,,
Confiserie(EXT),10.7,,,,,
此岸の戯事,10.5,,,,,
終末を追う者,10.4,,,,,
少年は空を辿る,10.5,,,,,
Squeeze,10.3,,,,,
Stand Alone Beat Masta,10.8,,,,,
smooooch・∀・,10.1,,,,,
Sol Cosine Job 2,10.7,,,,,
TSAR BOMBA,10.4,,,,,
DIAVOLO,10.6,,,,,
December Breeze,10.0,,,,,
Daily Lunch Special,10.3,,,,,
True Blue,10.2,,,,,
Thor's Hammer,10.5,,,,,
轟け！恋のビーンボール！！,10.0,,,,,
Dragon Blade,10.4,,,,,
IX,10.7,,,,,
New Decade,10.1,,,,,
Never Look Back in Sorrow,10.5,,,,,
neu,10.2,,,,,
Beastie Starter,10.7,,,,,
V,10.5,,,,,
405nm (Ryu☆mix),10.3,,,,,
Plan 8,10.2,,,,,
BLUE STRAGGLER,10.3,,,,,
Proof of the existence,10.3,,,,,
Broken,10.1,,,,,
RED ZONE,10.3,,,,,
Romancing Layer,10.2,,,,,
encounter,10.4,,,,,
御千手メディテーション,10.3,,,,,
KHAMEN BREAK,10.3,,,,,
Cleopatrysm,10.6,,,,,
STERLING SILVER,10.2,,,,,
Timberwolves,10.1,,,,,
ドーパミン,10.7,,,,,
Nature (jubeat version),10.5,,,,,
Blue Goose,10.2,,,,,
フレッフレー♪熱血チアガール,10.3,,,,,
Ausretious#1-まどろみ、或いは嘆色の夢-,10.4,,,,,
アガット,10.6,,,,,
We're so Happy [2],10.2,,,,,
overcomplexification,10.4,,,,,
glacia,10.3,,,,,
glacia [2],10.6,,,,,
Chloé,10.2,,,,,
Sacrifice for Justice,10.3,,,,,
ススススペースハリネズミ,10.5,,,,,
Slluuddggee,10.3,,,,,
竹取飛翔 ～ Lunatic Princess (Ryu☆Remix),10.4,,,,,
天空の華,10.6,,,,,
Two Pianists,10.2,,,,,
Too Late Snow [2],10.5,,,,,
トリカゴノ鳳凰 [2],10.3,,,,,
†渚の小悪魔ラヴリィ～レイディオ† [2],10.3,,,,,
夏色DIARY 俺のjubeat編,10.3,,,,,
Niflheimr,10.6,,,,,
FLOWER [2],10.4,,,,,
プレインエイジア -PHQ remix-,10.4,,,,,
ほおずき程度には赤い頭髪,10.4,,,,,
龍と少女とデコヒーレンス,10.5,,,,,
霖が哭く,10.5,,,,,
Russian Caravan Rhapsody,10.1,,,,,
アキネイション,10.0,,,,,
Against the vulgar aggressor,10.4,,,,,
Valanga,10.5,,,,,
運命,10.0,,,,,
KAMAITACHI,10.7,,,,,
Grand Chariot,10.4,,,,,
Glitter Flatter Scatter,10.7,,,,,
檄,10.5,,,,,
Cosminflation,10.3,,,,,
The Omen,10.4,,,,,
Sky High(ADV),10.6,,,,,
Sky High(EXT),10.6,,,,,
StrayedCatz,10.6,,,,,
ZEPHYRANTHES,10.4,,,,,
Sephirot,10.4,,,,,
CHERNOBOG,10.7,,,,,
旅の終わりと祝祭の夜,10.3,,,,,
天嘩乱舞,10.0,,,,,
Triple Counter,10.4,,,,,
New York EVOLVED,10.5,,,,,
爆なな☆てすとロイヤー,10.0,,,,,
Hollywood Galaxy,10.3,,,,,
びいすと！,10.0,,,,,
Bleep Beep Bop,10.2,,,,,
Phlox,10.1,,,,,
蟲の棲む処,10.2,,,,,
Megalara Garuda(BSC),10.4,,,,,
Megalara Garuda(ADV),10.5,,,,,
Megalara Garuda(EXT),10.7,,,,,
RHYZING BEAT,10.4,,,,,
Ausretious#1-まどろみ、或いは嘆色の夢- [2],10.6,,,,,
アガット [2],10.6,,,,,
EXUSIA,10.4,,,,,
In The Ruins,10.2,,,,,
Everybody's Rich,10.6,,,,,
AI,10.5,,,,,
Couleur=Blanche(ADV),10.3,,,,,
Couleur=Blanche(EXT),10.6,,,,,
Jazz is Rad,10.5,,,,,
Singularity,10.5,,,,,
Scars of FAUNA [2],10.1,,,,,
smooooch・∀・ [2],10.1,,,,,
Diastrophism,10.3,,,,,
chaplet [2],10.3,,,,,
トキメキメカニクス,10.0,,,,,
Necroxis Girl,10.6,,,,,
Never See You Again,10.6,,,,,
Northern Wind,10.5,,,,,
birth,10.5,,,,,
パピポペピプペパ,10.5,,,,,
Be a Hero!,10.3,,,,,
PF flowing,10.2,,,,,
Puberty Dysthymia,10.5,,,,,
Blue Sky,10.2,,,,,
Prey,10.6,,,,,
HEAVENLY MOON [2],10.2,,,,,
ヘンゼルとグレーテル,10.3,,,,,
Midnight City Warfare,10.6,,,,,
Life is beautiful,10.2,,,,,
Last Dress,10.7,,,,,
Rampage☆Rag,10.5,,,,,
Rejoin(ADV),10.1,,,,,
Rejoin(EXT),10.2,,,,,
Roll the Dice,10.6,,,,,
Wowie Zowie!,10.7,,,,,
Wandering Gravity,10.4,,,,,
One More Reason,10.6,,,,,
